Brand,Average Price
"Lambert, Mcfarland and Oneal",14.0
"Huff, Hancock and Lewis",49.0
Bennett-Howard,569.0
Le-Lewis,42.0
Acosta-Mckay,543.0
Garrison-Savage,635.0
"Cooley, Stokes and Pugh",752.0
Lopez Inc,527.0
Hale-Mcdaniel,458.0
Patton-Huang,301.0
Diaz Inc,598.5
Cox-Mccoy,314.0
Kirk-Pierce,293.0
Ramsey-Torres,131.0
Blair-Lee,591.0
Suarez-Chapman,386.0
Caldwell Ltd,77.0
Blanchard-Rivas,3.0
Valenzuela Inc,130.0
"Crane, Clay and Cherry",80.0
Spence Ltd,318.0
"Bowen, Shah and Mcgrath",50.0
Lang-Hill,426.0
"Reid, Daugherty and Turner",904.0
Beard PLC,464.0
Cisneros-Kent,135.0
"Singleton, Ward and Boone",183.0
Rasmussen LLC,378.0
Frey PLC,110.0
Hines-Decker,320.0
Santiago-Schultz,117.0
"Jarvis, Whitehead and Glass",500.0
Lyons-Callahan,300.0
Ryan-Huber,824.0
"Li, Reese and Lindsey",564.0
"Huber, Tate and Valdez",539.0
Mata Inc,555.0
"Hudson, Hansen and Austin",338.0
Chung-Mcclain,827.0
Wilkins Ltd,547.5
Benton Group,683.5
"Avila, Livingston and Fox",373.0
Fitzgerald-Flores,98.0
Krueger-Wagner,85.0
Velazquez-Browning,137.0
"Schaefer, Morton and Higgins",882.0
Page PLC,612.0
"Parrish, Caldwell and Higgins",276.0
Newman LLC,30.0
"Lester, Fritz and Warren",894.0
Mays-Hawkins,949.0
Nielsen Group,641.0
Blackwell Ltd,26.0
Lang-Grimes,330.0
Lewis LLC,295.5
Bird and Sons,708.0
Faulkner Group,897.0
"Espinoza, Summers and Suarez",987.0
"Andrade, Sanchez and Berg",749.0
May Inc,6.0
"Hebert, Daniels and Stewart",509.0
Short-Bright,287.0
Escobar Inc,488.0
Tyler and Sons,681.0
Duffy Ltd,124.0
"David, Griffin and Castaneda",60.0
Barrera-Sanders,447.0
Guerrero Ltd,210.0
"Paul, Burnett and Craig",729.0
Brown LLC,467.0
"Burnett, Wood and Mckay",563.0
Estes PLC,195.0
Schultz-Quinn,810.0
"Scott, Waters and Madden",197.0
Maynard-Mendez,159.0
"Cannon, Weaver and Simon",363.0
Patel-Patrick,872.0
"Saunders, Dominguez and Patel",235.0
"Hendricks, Bryan and Moreno",521.0
"Weaver, Booker and Hunt",920.0
Hopkins Group,879.0
"Baldwin, Oconnor and Cortez",209.0
"Peck, Costa and Mcconnell",793.0
Sullivan PLC,860.0
Douglas-Rich,614.0
Mayo Inc,510.0
"Marshall, Larson and Mays",389.0
"Lynn, Freeman and Reyes",716.0
"Carr, Mcknight and Bailey",764.0
"Petersen, Mcneil and Bruce",976.0
Salazar-Jacobs,980.0
Sherman-Elliott,425.0
"Marshall, Duncan and Rasmussen",619.0
Pierce Inc,461.0
"Sullivan, Krause and Jennings",217.0
"Garcia, Gutierrez and Ingram",221.0
Mata Group,543.0
Contreras-Zhang,960.0
Herman Inc,309.0
Wallace-Whitehead,505.0
"Sampson, Benton and Avery",900.0
Krueger PLC,753.0
"Schroeder, Parks and Lucas",620.0
Robles PLC,222.0
Oconnor Ltd,664.0
Adams Ltd,63.0
Thomas Inc,295.0
Mann-Sparks,218.0
Sanders-Collins,906.0
"Holden, Frye and Mccoy",891.0
"Crosby, Hale and Schneider",911.0
"George, Ross and Kramer",710.0
Evans-Shelton,818.0
"Powell, Wilcox and Cantu",604.0
Mccullough LLC,527.0
"Lester, Glover and Davila",429.0
Sexton-Craig,572.0
Pena-Fischer,123.0
Schroeder PLC,107.0
"Ray, Reed and Mayo",402.0
Bautista-Bauer,441.0
"Webster, Lang and Fernandez",735.0
Sloan LLC,711.0
"Mcpherson, Sheppard and Carroll",238.0
"Lozano, Watts and Everett",138.0
Wilkins and Sons,564.0
Holloway-Fitzpatrick,35.0
Valencia-Page,778.0
Kelley LLC,510.0
Dyer-Lopez,919.0
"Zavala, Pierce and Hess",14.0
David-Barajas,243.0
Page-Howell,730.0
Bass and Sons,704.0
"Mendez, Roberson and Ferguson",919.0
Navarro and Sons,663.0
Ballard-Berger,694.0
Marshall Inc,504.5
Mcclure-House,790.0
Frazier-Perkins,86.0
Sellers-Sampson,214.0
Kemp-Cherry,620.0
"Klein, Miranda and Benitez",950.0
"Rogers, Durham and Hahn",121.0
"Durham, Hodges and Hinton",242.0
Norman PLC,329.5
Vincent-Fox,240.0
Jarvis-Lin,123.0
Bentley-Prince,226.0
"Maddox, Mcdowell and Harding",721.0
Salas Group,492.5
Travis-Maldonado,80.0
Levine PLC,532.0
Hardy-Meyer,540.0
"Gentry, Cannon and Short",138.0
Blanchard Inc,976.0
Travis Group,580.5
"Key, Meyers and Fitzgerald",441.0
"Santana, Frey and Hodges",613.0
"Abbott, Pitts and Charles",527.0
Floyd Ltd,138.0
Hubbard LLC,16.0
Cunningham-Sellers,536.0
Hill-Hanna,872.0
"Rubio, Chen and Jordan",762.0
Thomas-Russell,383.0
"Ball, Arellano and Dunlap",758.0
"Simmons, Bernard and Farmer",564.0
"Scott, Sanford and Mccarthy",442.0
"Gallegos, Bray and Hanson",930.0
"Ellis, Mason and Joyce",765.0
Velasquez Ltd,739.0
"Frye, Kaiser and Owen",48.0
"Lester, Estrada and Simpson",358.0
Calhoun and Sons,890.0
Peterson and Sons,449.5
Bright PLC,375.5
Hicks-Owens,799.0
"Yates, Dunlap and Little",247.0
Gamble Ltd,877.0
Watson Group,765.5
"Salinas, Carney and Glenn",645.0
Tyler-Stone,871.0
"Barker, Hartman and Jennings",260.0
Larson-Cannon,819.0
Alvarez-Tran,187.0
"Esparza, Moreno and Abbott",325.0
"Collier, Haynes and Herrera",621.0
Paul-May,435.0
"Alvarez, Brandt and Baldwin",342.0
"Jacobs, Preston and Arnold",521.0
Jennings PLC,67.0
Davies-Brewer,76.0
Smith PLC,140.0
Erickson-Hahn,337.0
Manning-Odonnell,963.0
Bauer-Hudson,761.0
"Wall, Sherman and Medina",164.0
"Meyers, Spears and Combs",337.0
"Pena, Cherry and Mooney",956.0
Ramirez Ltd,489.0
"Galloway, Jefferson and Mccarthy",476.0
Mejia Group,583.0
Bailey Inc,311.0
"Cortez, Floyd and Spencer",868.0
"Glover, Wilkinson and Patterson",667.0
Greer-Hebert,730.0
"Villegas, Hernandez and Reynolds",44.0
Hunter-Guzman,349.0
"Munoz, Lester and Little",204.0
Avila Group,826.0
Davidson-Walsh,29.0
Franco Inc,777.75
Chambers Group,428.0
Ramsey Group,158.0
Fischer-Rivers,124.0
Adams Inc,739.0
"Garrett, Lucas and Castaneda",671.0
"Brandt, Dean and Dunlap",980.0
"Medina, Bautista and Marks",698.0
Welch LLC,702.3333333333334
Snyder-Rosario,244.0
"Dalton, Schaefer and Morrow",253.0
"Berg, Ryan and Valenzuela",710.0
Schultz Inc,59.0
"Frost, Mccormick and Calhoun",989.0
Soto Inc,539.0
Lloyd Ltd,669.3333333333334
Singh-Gillespie,471.0
Davis and Sons,580.0
"Peterson, Woods and Caldwell",291.0
Douglas Group,332.0
"Zhang, Ferguson and Henderson",603.0
Sims-Vance,699.0
Villanueva Ltd,822.6666666666666
Moreno Group,384.0
Brennan-Ayers,579.0
Black LLC,488.0
"Steele, Hogan and Bradshaw",968.0
"Bowen, Cunningham and Macdonald",608.0
"Snyder, Serrano and Wong",21.0
Becker-Moore,370.0
"Gross, Johnston and Todd",713.0
James-Marquez,681.0
Moyer-Garner,419.0
Meyer-Pollard,629.0
Burton and Sons,144.0
Wheeler and Sons,500.0
Mcknight Ltd,419.0
"Mckinney, Hobbs and Savage",944.0
Meyers Group,923.0
Sutton-Fitzgerald,772.0
"Conner, Gilmore and Powell",987.0
Patton LLC,798.0
Lam-Floyd,661.0
Grimes-Blackwell,789.0
Thornton PLC,467.5
Jarvis-Woods,60.0
Lowe Group,671.0
Andrade Ltd,280.0
"Casey, Fitzpatrick and Deleon",436.0
Waller-Castaneda,450.0
Hodge and Sons,236.0
"Collier, Neal and Hardin",408.0
"Landry, Mayer and Mcdowell",222.0
Nolan-Bernard,383.0
Winters PLC,423.0
Russo LLC,969.0
Lucas Ltd,489.5
"Pierce, Munoz and Moore",113.0
Carney-Barry,934.0
Kaiser-Ward,852.0
Snyder Group,583.0
"Wolfe, Lewis and Clark",840.0
Harrell-Hale,501.0
"Jenkins, Cantu and Cisneros",101.0
Andrews and Sons,486.0
"Vazquez, Montgomery and Vance",745.0
Pitts-Juarez,36.0
Williamson Group,318.0
"Harding, Sparks and Greer",804.0
Mills PLC,920.0
Valdez PLC,404.5
Zavala-Richards,870.0
Cervantes-Baldwin,548.0
Benton LLC,592.0
"Perkins, Pittman and Middleton",122.0
"Welch, Levy and Davidson",596.0
"Stein, Higgins and Mathews",994.0
Austin-Taylor,861.0
"Wagner, Pruitt and Reese",712.0
"Conrad, Weiss and Mckinney",429.0
Welch-Stout,811.0
"Anderson, Dodson and Patel",623.0
Suarez-Mercado,867.0
Christensen-Mitchell,379.0
"Bell, Simon and Shea",65.0
Landry-Archer,12.0
"Russell, Mitchell and Mathis",449.0
Beard-Lawson,694.0
"Ayala, George and Ferguson",755.0
Sherman-Beard,871.0
Jarvis-Henry,645.0
Jackson LLC,10.0
Lee-Lucero,628.0
"Cohen, Leon and Harvey",198.0
Shields Ltd,733.0
Hopkins-Moon,899.0
"Morris, House and Arellano",558.0
Combs-Case,920.0
"Rowland, Hunt and Harvey",418.0
Kerr-Meza,175.0
"Skinner, Kennedy and Mcneil",470.0
"Delacruz, Burke and Hinton",717.0
Pham-Hampton,814.0
Duke-Donaldson,673.0
Simpson-Harding,201.0
Lowery-Marshall,87.0
Graves PLC,13.0
Bryant Inc,432.0
Jacobs PLC,95.0
Mcknight-Zhang,134.0
"Chase, Ayala and Woods",550.0
"Kramer, Kline and Mack",676.0
"Freeman, Buck and Hess",981.0
"Christian, Lowery and Reese",450.0
Levy-Atkins,617.0
Orr Inc,704.0
Dunn Inc,479.6666666666667
Bautista Inc,373.0
Little Group,485.6666666666667
Burnett Group,429.3333333333333
Walls LLC,842.0
Little PLC,392.5
Harris-Farmer,979.0
"Reeves, Aguirre and Tate",529.0
Crawford-Benson,333.0
Dyer-Mendoza,745.0
"Mccormick, Dixon and Thornton",318.0
"Rodgers, Warren and Pruitt",151.0
"Wall, Brown and Choi",828.0
"Nixon, Benjamin and Combs",801.0
"Dunlap, Conrad and Bartlett",585.0
Khan and Sons,519.0
Wilkerson-Thompson,954.0
Mccormick and Sons,586.5
"Mccoy, George and Hensley",647.0
Lambert LLC,58.0
Mcmillan Ltd,590.0
"Stout, Herman and George",131.0
Petty Ltd,456.0
"Williamson, Nielsen and Pollard",711.0
"Barton, Ortiz and Camacho",523.0
Castillo Inc,724.0
Lynn-Mueller,114.0
"Stein, Walters and Bennett",246.0
Potts-Acosta,157.0
Solomon LLC,292.0
"Maldonado, Merritt and Savage",384.0
"Drake, Wright and Barber",657.0
"Byrd, Middleton and Jensen",947.0
"Duran, Solis and Pruitt",599.0
Fletcher Inc,932.0
Cochran Inc,732.0
Potter-Ibarra,557.0
Franco-Frazier,585.0
Gamble Inc,513.0
Church-Thomas,848.0
"Vaughn, Dalton and Flynn",646.0
"Walsh, Caldwell and Conrad",495.0
"Mora, Berry and Gray",489.0
Randolph-Jacobs,916.0
Porter and Sons,619.0
Booth Inc,205.5
Espinoza Inc,216.0
Lambert PLC,528.0
"Odonnell, Cook and Ellison",98.0
Jordan LLC,271.0
"Murphy, Rush and Bird",974.0
"Gamble, Rich and Merritt",414.0
Pratt LLC,712.0
Bender LLC,425.5
Mckay-Atkinson,467.0
"Cohen, Khan and Montoya",839.0
Macias-Rangel,569.0
Mcknight-Gibson,9.0
Mccarthy Ltd,432.0
"Fitzgerald, Navarro and Benson",618.0
"Randall, Valentine and Sosa",481.0
Hobbs-Barnes,527.0
Floyd-Kidd,281.0
Cooley-Tapia,150.0
Leonard-Mcpherson,550.0
Crosby and Sons,621.0
Camacho-Doyle,836.0
Blake PLC,364.0
Dudley-Rice,518.0
"Oneal, Costa and Wang",603.0
Ayers Ltd,758.0
Simpson Group,567.0
Hanson-Hale,951.0
Blake-Cline,618.0
Hodges Ltd,325.0
Burton-Rubio,699.0
Terrell Inc,89.0
Sampson LLC,912.0
"Pennington, Walsh and Mccoy",467.0
"Mullins, Nash and Huber",825.0
Burch-Maldonado,893.0
"Kelley, Crosby and Hubbard",947.0
Hansen Ltd,485.6666666666667
"Shannon, Bridges and Arroyo",533.0
"Parrish, Duarte and Andrade",436.0
Christensen-Hayden,447.0
Ali-Brandt,823.0
Cline-Singleton,176.0
Dorsey LLC,854.6666666666666
"Stark, Rice and Roth",742.0
Moreno PLC,891.0
Doyle Ltd,339.5
Mills-Robles,223.0
Garner-Dickson,748.0
"Gill, Barrett and Kidd",458.0
Michael-Patrick,428.0
Henson and Sons,265.5
Villegas-Benson,460.0
Salazar Group,398.0
Bryan-Ewing,946.0
"Ware, Vazquez and Fuentes",886.0
Stokes-Oliver,415.0
Rivas Ltd,125.0
Duffy PLC,369.6666666666667
Mayer PLC,577.0
"Ballard, Hawkins and Miller",799.0
Sutton-Coffey,53.0
Hale PLC,625.0
Lawson Ltd,475.0
"Ross, Christian and Wilkins",637.0
Merritt LLC,309.0
Estrada-Hodge,736.0
Day-Rangel,106.0
Kelly-Montgomery,728.0
Mccoy Inc,426.5
"Riggs, James and Faulkner",767.0
Sanders LLC,406.0
Mercado LLC,163.5
Ramirez-Gonzalez,392.0
"Guerra, Shea and Kirby",925.0
Pitts-Fischer,367.0
Meyers Inc,403.0
Hensley LLC,608.0
Lawson-Stout,414.0
Mathis Ltd,554.6666666666666
Carr Group,68.0
Morales LLC,236.0
Ayers-Andersen,624.0
"Chandler, Sharp and Mullen",804.0
"Tate, Rangel and Hooper",400.0
Burch-Nguyen,799.0
"Reed, Kelley and Braun",538.0
"Boone, Mccarthy and Riggs",845.0
Baird PLC,959.0
Newton Ltd,930.0
Larsen Group,37.5
Woodard-Davila,777.0
Harris-Meyers,927.0
Downs-Rangel,919.0
Barker Inc,883.3333333333334
Levine-James,976.0
"Willis, Horn and Travis",517.0
"Spears, Luna and Decker",393.0
"Haas, Hanson and Miller",931.0
Cordova Inc,534.5
Lewis Group,376.0
Branch-Rush,240.0
Mclean LLC,554.0
Jones-Shannon,677.0
Bender PLC,247.0
Flores-Craig,408.0
Cox-Sanchez,135.0
Lam-Contreras,840.0
Mckinney-Wilcox,483.0
Collins Ltd,375.5
Lyons Ltd,10.0
Morris-Swanson,576.0
Brennan Inc,410.0
"Boyd, Daugherty and Hanson",172.0
Burnett and Sons,419.5
"Kent, Kaiser and Velasquez",756.0
Bridges PLC,736.0
Peterson LLC,249.0
Arellano-Sexton,286.0
Stewart and Sons,846.0
Huff-Mora,786.0
"Holloway, Acevedo and Good",636.0
"Wolf, Sherman and Michael",519.0
Davis-Burgess,14.0
Bray-Klein,613.0
Turner Inc,900.0
Villarreal Ltd,867.0
"Schwartz, Shaw and Case",616.0
"Munoz, Walsh and Keith",480.0
Santos-Barber,417.0
"Chambers, Dorsey and Dougherty",635.0
Rodgers-Copeland,31.0
Dominguez-Mcneil,895.0
Ho-Mcpherson,134.0
"Mcintosh, Lynn and Taylor",921.0
"Cabrera, Lester and Hanna",284.0
Trujillo-Hardin,118.0
"Arellano, Obrien and Warner",900.0
"Schaefer, Wells and Guerra",387.0
Michael Inc,369.0
"Newton, Singleton and Hoffman",394.0
"Carrillo, Sims and Hebert",50.0
"Sullivan, Villa and Trevino",99.0
"George, Pruitt and Roach",86.0
Stafford-Fowler,93.0
Cantrell PLC,780.3333333333334
Kelley Inc,730.5
"Dorsey, Harrington and Franco",822.0
"Guerra, Bush and Beltran",870.0
Novak Ltd,363.0
Munoz-Byrd,175.0
Mueller Group,432.0
Conway Group,648.0
"Delacruz, Donaldson and Bolton",701.0
Daniels Ltd,341.0
"Solomon, Levine and Crane",776.0
Bray Ltd,337.0
"Ballard, Atkins and Baxter",212.0
Miller Inc,658.5
Mason Ltd,641.0
"Burgess, Gay and Bray",832.0
Bowman-Padilla,150.0
"Parks, Sharp and Oliver",692.0
Cobb Inc,738.0
Welch Group,978.0
"Cole, Nguyen and Chaney",507.0
"Massey, Houston and Schroeder",211.0
"Delacruz, Rubio and Price",637.0
Benjamin-Aguilar,427.0
Kelly PLC,659.0
Ingram-Boyd,888.0
Campbell Inc,493.0
"Hunt, Sanders and Tucker",232.0
"Pugh, Barrera and Valentine",99.0
"Oneill, Powers and Payne",347.0
Pena-Whitney,132.0
"Robles, Preston and Hensley",442.0
"Gomez, Shelton and Peterson",676.0
Williamson PLC,436.6666666666667
"Snyder, White and Preston",497.0
Golden Group,708.5
Clark-Charles,803.0
Smith Inc,552.0
